uuid,name,name_plain,description,description_plain,item,owner,owner_plain,visits,votes,date_created,has_resource_pack,player_count,resource_pack_url,resource_pack_hash,saves_dat_files,saves_player_data,date_modified
"5bd7e4ad-94bc-421d-8b7a-4986b4401191","{""italic"":false,""extra"":[{""color"":""#102820"",""text"":""������""},{""color"":""#1F3729"",""text"":"" ""},{""color"":""#2E4632"",""text"":""K""},{""color"":""#3D553B"",""text"":""o""},{""color"":""#4C6444"",""text"":""o""},{""color"":""#6C7A5A"",""text"":""r""},{""color"":""#8B8F70"",""text"":""i""},{""color"":""#ABA586"",""text"":"" ""},{""color"":""#CABA9C"",""text"":""F""},{""color"":""#BAA485"",""text"":""a""},{""color"":""#AA8E6E"",""text"":""r""},{""color"":""#9A7857"",""text"":""m""},{""color"":""#8A6240"",""text"":""i""},{""color"":""#7B5536"",""text"":""n""},{""color"":""#6C482C"",""text"":""g""},{""color"":""#5C3A22"",""text"":"" ""},{""color"":""#4D2D18"",""text"":""������""}],""text"":""""}","������ Koori Farming ������","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""#4D2D18"",""text"":""\\""},{""color"":""#56351E"",""text"":""°""},{""color"":""#5F3D24"",""text"":""/""},{""color"":""#68452A"",""text"":"" ""},{""color"":""#714C30"",""text"":""S""},{""color"":""#7A5436"",""text"":""t""},{""color"":""#835C3C"",""text"":""a""},{""color"":""#8C6543"",""text"":""r""},{""color"":""#967251"",""text"":""t""},{""color"":""#9F7F5F"",""text"":"" ""},{""color"":""#A98C6C"",""text"":""y""},{""color"":""#B2997A"",""text"":""o""},{""color"":""#BCA688"",""text"":""u""},{""color"":""#C5B395"",""text"":""r ""},{""color"":""#BCA688"",""text"":""o""},{""color"":""#B2997A"",""text"":""w""},{""color"":""#A98C6C"",""text"":""n""},{""color"":""#9F7F5F"",""text"":"" ""},{""color"":""#967251"",""text"":""f""},{""color"":""#8C6543"",""text"":""a""},{""color"":""#835C3C"",""text"":""r""},{""color"":""#7A5436"",""text"":""m""},{""color"":""#714C30"",""text"":""!""},{""color"":""#68452A"",""text"":"" ""},{""color"":""#5F3D24"",""text"":""\\""},{""color"":""#56351E"",""text"":""°""},{""color"":""#4D2D18"",""text"":""/""}],""text"":""""}","\°/ Start your own farm! \°/","wheat","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#1FFF0F"",""text"":""ᴍᴏᴅ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""#AAFF77"",""text"":""K""},{""color"":""#B0FF81"",""text"":""o""},{""color"":""#B7FF8C"",""text"":""o""},{""color"":""#BDFF96"",""text"":""r""},{""color"":""#C4FFA1"",""text"":""i""},{""color"":""#CAFFAB"",""text"":""K""},{""color"":""#D1FFB5"",""text"":""i""},{""color"":""#D7FFC0"",""text"":""t""},{""color"":""#DEFFCA"",""text"":""s""},{""color"":""#E4FFD4"",""text"":""u""},{""color"":""#EBFFDF"",""text"":""n""},{""color"":""#F1FFE9"",""text"":""e""},{""color"":""#F8FFF4"",""text"":""3""},{""color"":""#FEFFFE"",""text"":""8""}],""text"":""""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴍᴏᴅ | KooriKitsune38",1973,166,1713617160,true,4,,,,,
"46fab99c-8c62-4815-af64-ea3e098430c0","{""italic"":false,""extra"":[{""color"":""#AB713E"",""text"":""W""},{""color"":""#AD723F"",""text"":""o""},{""color"":""#AF7440"",""text"":""r""},{""color"":""#B17540"",""text"":""l""},{""color"":""#B27641"",""text"":""d""},{""color"":""#B47742"",""text"":"" ""},{""color"":""#B67943"",""text"":""L""},{""color"":""#B87A43"",""text"":""i""},{""color"":""#BA7B44"",""text"":""b""},{""color"":""#BC7C45"",""text"":""r""},{""color"":""#BD7E46"",""text"":""a""},{""color"":""#BF7F46"",""text"":""r""},{""color"":""#C18047"",""text"":""y""}],""text"":""""}","World Library","{""bold"":true,""italic"":false,""color"":""gray"",""text"":""Library of the best worlds""}","Library of the best worlds","bookshelf","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#1FFF0F"",""text"":""ᴍᴏᴅ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""#AAFF77"",""text"":""m""},{""color"":""#B0FF81"",""text"":""m""},{""color"":""#B6FF8A"",""text"":""m""},{""color"":""#BCFF94"",""text"":""m""},{""color"":""#C2FF9E"",""text"":""m""},{""color"":""#C8FFA7"",""text"":""a""},{""color"":""#CEFFB1"",""text"":""a""},{""color"":""#D4FFBB"",""text"":""a""},{""color"":""#DAFFC4"",""text"":""a""},{""color"":""#E0FFCE"",""text"":""a""},{""color"":""#E6FFD7"",""text"":""x""},{""color"":""#ECFFE1"",""text"":""x""},{""color"":""#F2FFEB"",""text"":""x""},{""color"":""#F8FFF4"",""text"":""x""},{""color"":""#FEFFFE"",""text"":""x""}],""text"":""""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴍᴏᴅ | mmmmmaaaaaxxxxx",249,30,1714434420,false,4,,,,,
"a25d61df-ab77-4714-9f63-7a3239254c68","{""italic"":false,""text"":""colony sim nothing here""}","colony sim nothing here","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","player_head","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""L""},{""color"":""#718EFF"",""text"":""o""},{""color"":""#6CA4FF"",""text"":""g""},{""color"":""#66BBFF"",""text"":""P""},{""color"":""#60D2FF"",""text"":""i""},{""color"":""#5BE8FF"",""text"":""g""},{""color"":""aqua"",""text"":""s""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | LogPigs",108,4,1715983800,false,2,,,,,
"4d401af3-2e03-4b57-aa6f-6ddf8e829bf8","{""italic"":false,""text"":""Will-be Bedwars""}","Will-be Bedwars","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","red_bed","{""italic"":false,""color"":""gray"",""text"":""SeaThrower87216""}","SeaThrower87216",516,10,1705901100,false,1,,,,,
"e673e165-d261-40b9-98cb-5d6736520cdc","{""italic"":false,""text"":""Disasters! [WIP]""}","Disasters! [WIP]","{""italic"":false,""color"":""gray"",""text"":""Builders needed!""}","Builders needed!","magma_block","{""italic"":false,""color"":""gray"",""text"":""QuestwalkerKO""}","QuestwalkerKO",211,4,1703233800,false,1,,,,,
"b6251ef7-371d-4844-b15e-747fd3b73d73","{""italic"":false,""text"":""PlasmaRay192's World""}","PlasmaRay192's World","{""italic"":false,""color"":""gray"",""text"":""not much yet""}","not much yet","player_head","{""italic"":false,""color"":""gray"",""text"":""PlasmaRay192""}","PlasmaRay192",34,0,1715616660,false,1,,,,,
"3d5946e7-7238-4fdf-8102-13b32e42e65e","{""italic"":false,""text"":""BigSmartBear's World""}","BigSmartBear's World","{""italic"":false,""color"":""gray"",""text"":""Join and type /edit to change the description!""}","Join and type /edit to change the description!","player_head","{""italic"":false,""color"":""gray"",""text"":""BigSmartBear""}","BigSmartBear",52,0,1703559240,false,1,,,,,
"3253a682-3a74-413d-8917-0edd92a792db","{""italic"":false,""text"":""������ Blocks 'n Props""}","������ Blocks 'n Props","{""italic"":false,""color"":""gray"",""text"":""idk if i update this game much""}","idk if i update this game much","enchanted_book","{""italic"":false,""color"":""gray"",""text"":""Pqwp""}","Pqwp",2651,228,1703442360,false,-1,,,,,
"5e78f703-22ed-48b5-906e-2af1e8f20025","{""bold"":true,""italic"":false,""extra"":[{""color"":""#0000B5"",""text"":""rpg ""},{""color"":""#0055FF"",""text"":""arena""}],""text"":""""}","rpg arena","{""italic"":false,""color"":""gray"",""text"":""still in development""}","still in development","iron_sword","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""e""},{""color"":""#7FE49D"",""text"":""t""},{""color"":""#8CE9A7"",""text"":""i""},{""color"":""#9AEEB2"",""text"":""d""},{""color"":""#A7F2BD"",""text"":""h""},{""color"":""#B5F7C7"",""text"":""a""},{""color"":""#C2FCD2"",""text"":""r""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | etidhar",2057,156,1703287380,true,-1,,,,,
"4904167c-a795-4d02-bba9-b9391db92c23","{""bold"":true,""italic"":false,""color"":""green"",""extra"":[{""color"":""dark_green"",""text"":""FFA""}],""text"":""Knockback ""}","Knockback FFA","{""italic"":false,""color"":""yellow"",""text"":""Punch other Players""}","Punch other Players","debug_stick","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""N""},{""color"":""#78E298"",""text"":""e""},{""color"":""#80E49E"",""text"":""t""},{""color"":""#87E7A3"",""text"":""h""},{""color"":""#8EEAA9"",""text"":""e""},{""color"":""#96ECAF"",""text"":""r""},{""color"":""#9DEFB5"",""text"":""A""},{""color"":""#A5F1BB"",""text"":""u""},{""color"":""#ACF4C1"",""text"":""g""},{""color"":""#B3F7C6"",""text"":""e""},{""color"":""#BBF9CC"",""text"":""H""},{""color"":""#C2FCD2"",""text"":""D""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | NetherAugeHD",1455,148,1704120120,true,0,,,,,
